Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Dumped broth flow(Fremoved:L/h),Dissolved oxygen concentration(DO2:mg/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Viscosity(Viscosity_offline:centPoise)
0.2,0,1,0,0,0.341551111,0,0.187033433,0,1,0.90341314,0,0.030669721,0.450775611,0.124513619,0.004234744,0.5,??,??,0.891541101,??,??
0.4,0,1,0,0,0.575111111,0,0.058082378,0,1,0.902048491,0.000758318,0.031424336,0.562432806,0.171206226,0.00954329,0.5,??,??,0.87945696,??,??
0.6,0,1,0,0,0.680666667,0,0,0,1,0.901593607,0.001643022,0.032286754,0.672554139,0.163424125,0.011244687,0.5,??,??,0.876174847,??,??
0.8,0,1,0,0,0.659777778,0,0.084150617,0,1,0.901138724,0.002496129,0.033149171,0.778835816,0.241245136,0.01223834,0.5,??,??,0.874832165,??,??
1,0,1,0,0.058221302,0.329897778,0.065406884,0.008414939,0,1,0.900380586,0.002875288,0.033607331,0.868990938,0.206225681,0.013119504,0.5,0.197764078,0.098515105,0.873787856,1.00E+00,1.00E+00
1.2,0,1,0,0.116569346,0.164951111,0.038423079,0.000841371,0,1,0.89909175,0.003033271,0.033849885,0.920903087,0.182879377,0.013995981,0.5,??,??,0.871848426,??,??
1.4,0,1,0,0.175233116,0.082475556,0.011527159,0.065501936,0,1,0.898030356,0.003096464,0.034011589,0.924281984,0.237354086,0.014905268,0.5,??,??,0.870356557,??,??
1.6,0,1,0,0.234202426,0.041237333,0.05930091,0.006550071,0,1,0.895983382,0.003064868,0.034146341,0.897865151,0.210116732,0.015852051,0.5,??,??,0.867223631,??,??
1.8,0,1,0,0.293296216,0.020618667,0.036567272,0.000654884,0,1,0.894391291,0.003033271,0.034227193,0.855782522,0.186770428,0.016841017,0.5,??,??,0.864687453,??,??
2,0,1,0,0.352423954,0.010309333,0.017608606,6.54E-05,0,1,0.893102455,0.003001675,0.034308045,0.807863615,0.175097276,0.017876854,0.5,??,??,0.862598836,??,??
2.2,0,1,0,0.411563009,0.005154667,0.00528251,0.038351108,0,1,0.890828039,0.002938481,0.034388896,0.758408847,0.210116732,0.018954874,0.5,??,??,0.85901835,??,??
2.4,0,1,0,0.470690748,0.002577333,0.03307026,0.003834988,0,1,0.889463389,0.002906885,0.034469748,0.70926125,0.194552529,0.020079764,0.5,??,??,0.856780546,??,??
2.6,0,1,0,0,0,0.017696492,0.000383376,0,1,0.887037346,0.002812095,0.034523649,0.672707725,0.182879377,0.021256212,0.5,??,??,0.853050873,??,??
2.8,0,1,0,0,0,0.005308876,0.036289816,0,1,0.884535488,0.002717305,0.0345506,0.637997235,0.217898833,0.022479531,0.5,??,??,0.848873639,??,??
3,0,1,0,0,0.019227556,0.034725771,0.003628859,0,1,0.882488514,0.002685709,0.034631451,0.614498541,0.20233463,0.023749719,0.5,??,??,0.845293152,??,??
3.2,0,1,0.049295775,0,0.065515556,0.022849014,0.000362763,0,1,0.881351306,0.002717305,0.034820105,0.614191368,0.194552529,0.025071466,0.5,??,??,0.843502909,??,??
3.4,0,1,0.049295775,0,0.112022222,0.014471311,3.62E-05,0,1,0.878849449,0.002843692,0.03506266,0.63738289,0.190661479,0.026449457,0.5,??,??,0.839922423,??,??
3.6,0,1,0.049295775,0,0.131631111,0.010230342,3.49E-06,0,1,0.87710573,0.003001675,0.035305215,0.667025035,0.190661479,0.027869631,0.5,??,??,0.836938684,??,??
3.8,0,1,0.049295775,0,0.117257778,0.007887896,2.26E-07,0,1,0.87574108,0.003128061,0.03554777,0.688527108,0.190661479,0.029331988,0.5,??,??,0.834999254,??,??
4,0,1,0.049295775,0,0.078111111,0.007603905,0,0,1,0.874376431,0.003222851,0.035763374,0.690370143,0.194552529,0.03083653,0.5,??,??,0.833358198,??,??
4.2,0,1,0.049295775,0,0.036931556,0.008455675,0,0,1,0.870964807,0.003222851,0.035952028,0.669021656,0.19844358,0.032392628,0.5,??,??,0.829926898,??,??
4.4,0,1,0.049295775,0,0.020506222,0.010278372,0,0,1,0.868614577,0.003222851,0.036113731,0.639072339,0.20233463,0.034004971,0.5,??,??,0.826346412,??,??
4.6,0,1,0.049295775,0,0.038604889,0.012573605,0,0,1,0.866491789,0.003222851,0.036302385,0.619259714,0.206225681,0.035664185,0.5,??,??,0.823362673,??,??
4.8,0,1,0.049295775,0,0.079328889,0.014934241,0,0,1,0.86414156,0.00331764,0.036517989,0.619413301,0.206225681,0.03738433,0.5,??,??,0.820080561,??,??
5,0,1,0.049295775,0,0.119928889,0.01791927,0,0,1,0.861639702,0.003444027,0.036814445,0.637690063,0.210116732,0.039165406,0.5,??,??,0.816500075,??,??
5.2,0,1,0.049295775,0,0.139395556,0.02045772,0,0,1,0.858758775,0.003570413,0.037083951,0.663646137,0.214007782,0.04099804,0,??,??,0.812322841,??,??
5.4,0,1,0.049295775,0,0.128755556,0.023483626,0,0,1,0.857394126,0.003696799,0.037353456,0.682230072,0.217898833,0.042891606,0,??,??,0.810532597,??,??
5.6,0,1,0.049295775,0,0.096755556,0.026705741,0,0,1,0.85413413,0.003759992,0.037596011,0.685301797,0.217898833,0.044841416,0,??,??,0.806355363,??,??
5.8,0,1,0.049295775,0,0.06136,0.029439378,0,0,1,0.851329017,0.003759992,0.037784665,0.668407311,0.217898833,0.046856845,0,??,??,0.80262569,??,??
6,0,1,0.049295775,0,0.045471111,0.031592564,0,0,1,0.848144835,0.003759992,0.037946368,0.643679926,0.221789883,0.048937892,0,??,??,0.798299269,??,??
