Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Dumped broth flow(Fremoved:L/h),Dissolved oxygen concentration(DO2:mg/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Viscosity(Viscosity_offline:centPoise)
0.2,0,1,0,0,0.133711111,0,0.384879218,0,1,0.898712681,0.03090145,0.041908099,0.570572877,0.050583658,0.006687005,0.5,??,??,0.977472773,??,??
0.4,0,1,0,0,0.228564444,0,0.109611951,0,1,0.896514079,0.031154223,0.042231505,0.641529719,0.155642023,0.013021076,0.5,??,??,0.889900045,??,??
0.6,0,1,0,0,0.242973333,0,0,0,1,0.895149429,0.031406995,0.042581862,0.716172631,0.151750973,0.015116185,0.5,??,??,0.867522005,??,??
0.8,0,1,0,0,0.171702222,0,0.137319109,0,1,0.892647572,0.031564978,0.042851368,0.76685609,0.284046693,0.016367625,0.5,??,??,0.858719976,??,??
1,0,1,0,0.058623031,0.085848889,0.115599521,0.013731788,0,1,0.891282922,0.031596575,0.04298612,0.774535402,0.233463035,0.017483142,0.5,0.185974372,0.068766001,0.85513949,1.00E+00,1.00E+00
1.2,0,1,0,0.117565182,0.042925333,0.075395133,0.001373056,0,1,0.889766645,0.031596575,0.043093923,0.755644294,0.194552529,0.018608032,0.5,??,??,0.852752499,??,??
1.4,0,1,0,0.176613706,0.021462667,0.04291544,0.000137183,0,1,0.887719671,0.031533382,0.043174774,0.723698357,0.171206226,0.019775106,0.5,??,??,0.849619573,??,??
1.6,0,1,0,0,0,0.01287405,0.06979265,0,1,0.885824324,0.031470189,0.043228675,0.684994624,0.237354086,0.020998425,0.5,??,??,0.846635835,??,??
1.8,0,1,0,0,0,0.068483886,0.006979142,0,1,0.882640142,0.031375399,0.043282576,0.648133927,0.210116732,0.022282675,0.5,??,??,0.841712666,??,??
2,0,1,0,0,0.007474667,0.047525323,0.000697791,0,1,0.88044154,0.031312206,0.043336478,0.616648748,0.190661479,0.023618482,0.5,??,??,0.837982993,??,??
2.2,0,1,0,0,0.051386667,0.030188445,6.97E-05,0,1,0.877484799,0.031280609,0.04344428,0.608047919,0.178988327,0.025019908,0.5,??,??,0.833209011,??,??
2.4,0,1,0,0,0.105048889,0.009056462,0.05181512,0,1,0.875816894,0.031343802,0.043632934,0.62309937,0.233463035,0.026482266,0.5,??,??,0.830374459,??,??
2.6,0,1,0,0,0.141222222,0.054818768,0.005181389,0,1,0.873466665,0.031470189,0.043848538,0.654891722,0.217898833,0.028000868,0.5,??,??,0.82694316,??,??
2.8,0,1,0,0,0.140693333,0.042816314,0.000518016,0,1,0.870585738,0.031596575,0.044064142,0.683612348,0.206225681,0.029580402,0.5,??,??,0.822616739,??,??
3,0,1,0,0,0.107173333,0.032728939,5.17E-05,0,1,0.868008067,0.031659768,0.044252796,0.694824144,0.19844358,0.031220867,0.5,??,??,0.818588692,??,??
3.2,0,1,0.049295775,0,0.060724444,0.027649995,5.04E-06,0,1,0.865657837,0.031691365,0.044414499,0.681001382,0.19844358,0.032926951,0.5,??,??,0.815157392,??,??
3.4,0,1,0.049295775,0,0.030328889,0.025590826,3.81E-07,0,1,0.86179133,0.031722961,0.044576203,0.651666411,0.19844358,0.034703341,0.5,??,??,0.809637476,??,??
3.6,0,1,0.049295775,0,0.033938222,0.026134487,0,0,1,0.859062031,0.031722961,0.044710955,0.625095991,0.20233463,0.036554723,0.5,??,??,0.805311055,??,??
3.8,0,1,0.049295775,0,0.068142222,0.027809415,0,0,1,0.855877849,0.031786154,0.044899609,0.613423437,0.206225681,0.038476411,0.5,??,??,0.80068626,??,??
4,0,1,0.049295775,0,0.115671111,0.029445509,0,0,1,0.853527619,0.031912541,0.045142164,0.622485025,0.210116732,0.040468404,0.5,??,??,0.79725496,??,??
4.2,0,1,0.049295775,0,0.152573333,0.032802517,0,0,1,0.84943367,0.032070524,0.045465571,0.648594686,0.214007782,0.042535391,0.5,??,??,0.793077726,??,??
4.4,0,1,0.049295775,0,0.159426667,0.036384348,0,0,1,0.846628558,0.032260103,0.045788977,0.674243588,0.217898833,0.044672683,0.5,??,??,0.789198866,??,??
4.6,0,1,0.049295775,0,0.136728889,0.041605339,0,0,1,0.843216934,0.032418086,0.046085433,0.692673936,0.221789883,0.046884967,0.5,??,??,0.784723258,??,??
4.8,0,1,0.049295775,0,0.092622222,0.046614792,0,0,1,0.839502055,0.032512876,0.046354939,0.688527108,0.225680934,0.049172245,0.5,??,??,0.779501716,??,??
5,0,1,0.049295775,0,0.053502222,0.051384094,0,0,1,0.835332292,0.032544472,0.046543593,0.663492551,0.229571984,0.051534515,0.5,??,??,0.773683425,??,??
5.2,0,1,0.049295775,0,0.043404889,0.056854433,0,0,1,0.831086716,0.032544472,0.046732246,0.633543235,0.233463035,0.053981152,0,??,??,0.767566761,??,??
5.4,0,1,0.049295775,0,0.067831111,0.063003328,0,0,1,0.828129975,0.032544472,0.0469209,0.614805713,0.237354086,0.056521529,0,??,??,0.763837088,??,??
5.6,0,1,0.049295775,0,0.113737778,0.069594714,0,0,1,0.824111841,0.032639262,0.047163455,0.615266472,0.241245136,0.059150961,0,??,??,0.758913919,??,??
