Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Dumped broth flow(Fremoved:L/h),Dissolved oxygen concentration(DO2:mg/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Viscosity(Viscosity_offline:centPoise)
0.2,0,1,0,0,0,0,0.10962562,0,1,0.904474534,0.009415779,0.020644118,0.711411458,0.151750973,0.002892375,0.5,??,??,0.313889303,??,??
0.4,0,1,0,0,0,0,0.03853154,0,1,0.903261512,0.009352586,0.020698019,0.681769313,0.178988327,0.008114679,0.5,??,??,0.743100104,??,??
0.6,0,1,0,0,0,0,0,0,1,0.901896863,0.009257796,0.02075192,0.653355859,0.171206226,0.009787016,0.5,??,??,0.845740713,??,??
0.8,0,1,0,0,0.001485467,0,0.061175683,0,1,0.900835469,0.009194603,0.020805821,0.626631854,0.221789883,0.010766608,0.5,??,??,0.868715501,??,??
1,0,1,0,0,0.033903111,0.04476716,0.006117445,0,1,0.898636867,0.009163007,0.020886673,0.614805713,0.19844358,0.011643085,0.5,0.191766168,0.060675883,0.870953304,1.00E+00,1.00E+00
1.2,0,1,0,0,0.079742222,0.023822904,0.000611622,0,1,0.89712059,0.009194603,0.021048376,0.623406543,0.182879377,0.01252425,0.5,??,??,0.869610622,??,??
1.4,0,1,0,0,0.115626667,0.0071468,0.048015125,0,1,0.896362451,0.009257796,0.02123703,0.6484411,0.217898833,0.013438223,0.5,??,??,0.868715501,??,??
1.6,0,1,0,0,0.122648889,0.040060195,0.004801389,0,1,0.895983382,0.009352586,0.021425684,0.677468899,0.19844358,0.014389693,0.5,??,??,0.868417127,??,??
1.8,0,1,0,0,0.096146667,0.022316593,0.000480016,0,1,0.894315477,0.009415779,0.021587387,0.69129166,0.182879377,0.015378659,0.5,??,??,0.86632851,??,??
2,0,1,0,0,0.053835556,0.006695009,0.043717576,0,1,0.893026641,0.009415779,0.02172214,0.683919521,0.221789883,0.016409809,0.5,??,??,0.864687453,??,??
2.2,0,1,0,0,0.020056444,0.038632573,0.004371635,0,1,0.891207108,0.009352586,0.021776041,0.659960068,0.20233463,0.017487829,0.5,??,??,0.862002089,??,??
2.4,0,1,0,0,0.014048889,0.023410048,0.00043704,0,1,0.889463389,0.009289393,0.021856893,0.633850407,0.190661479,0.018608032,0.5,??,??,0.859316724,??,??
2.6,0,1,0,0,0.038070667,0.011672271,4.36E-05,0,1,0.888553623,0.009257796,0.021964695,0.618798956,0.182879377,0.019775106,0.5,??,??,0.858123228,??,??
2.8,0,1,0,0,0.079417778,0.003501712,0.026480908,0,1,0.886885718,0.009289393,0.022099448,0.620027646,0.210116732,0.020984364,0.5,??,??,0.856034611,??,??
3,0,1,0,0,0.119191111,0.024391091,0.002647968,0,1,0.885369441,0.009384183,0.022288101,0.633236062,0.20233463,0.022240491,0.5,??,??,0.853945994,??,??
3.2,0,1,0.049295775,0,0.143706667,0.01743999,0.000264674,0,1,0.883928978,0.009542166,0.022584557,0.652127169,0.19844358,0.023548176,0.5,??,??,0.852304938,??,??
3.4,0,1,0.049295775,0,0.146546667,0.012446887,2.63E-05,0,1,0.882488514,0.009731745,0.022854063,0.667025035,0.194552529,0.024912106,0.5,??,??,0.850514695,??,??
3.6,0,1,0.049295775,0,0.132173333,0.009898524,2.51E-06,0,1,0.879835029,0.009858131,0.023123568,0.677776071,0.194552529,0.026327593,0.5,??,??,0.846934209,??,??
3.8,0,1,0.049295775,0,0.105324444,0.0092587,1.28E-07,0,1,0.877484799,0.009984518,0.023339173,0.676547381,0.19844358,0.027794638,0.5,??,??,0.843502909,??,??
4,0,1,0.049295775,0,0.080022222,0.009971694,0,0,1,0.875665267,0.010047711,0.023554777,0.664414068,0.19844358,0.029317927,0.5,??,??,0.840966731,??,??
4.2,0,1,0.049295775,0,0.068706667,0.01179388,0,0,1,0.872860154,0.010110904,0.023770381,0.64721241,0.20233463,0.030892774,0.5,??,??,0.838281367,??,??
4.4,0,1,0.049295775,0,0.077333333,0.014365031,0,0,1,0.871268063,0.010174097,0.024012936,0.630932268,0.210116732,0.032523865,0.5,??,??,0.836491123,??,??
