Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Dumped broth flow(Fremoved:L/h),Dissolved oxygen concentration(DO2:mg/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Viscosity(Viscosity_offline:centPoise)
0.2,0,1,0,0,0.252813333,0,0.114910073,0,1,0.906294067,0.049764606,0.037865517,0.504530794,0.147859922,0.001827947,0.5,??,??,0.539907504,??,??
0.4,0,1,0,0,0.424257778,0,0.041023407,0,1,0.904853603,0.050270151,0.038431478,0.604669022,0.178988327,0.007065718,0.5,??,??,0.794420409,??,??
0.6,0,1,0,0,0.481022222,0,0,0,1,0.903943837,0.050870486,0.039078291,0.706650284,0.171206226,0.008818204,0.5,??,??,0.855885424,??,??
0.8,0,1,0,0,0.420724444,0,0.062679278,0,1,0.902730815,0.051407627,0.039617302,0.80156658,0.221789883,0.009866696,0.5,??,??,0.869312248,??,??
1,0,1,0,0.058295989,0.210364444,0.045477395,0.006267805,0,1,0.901517794,0.051597207,0.039940709,0.863922593,0.20233463,0.01079473,0.5,0.219014405,0.069278034,0.871102491,1.00E+00,1.00E+00
1.2,0,1,0,0.116874887,0.105182222,0.026305148,0.000626657,0,1,0.899849889,0.051691997,0.040102412,0.87667025,0.182879377,0.011732139,0.5,??,??,0.869461435,??,??
1.4,0,1,0,0.175810248,0.052591111,0.007891473,0.051008646,0,1,0.898636867,0.051691997,0.040237165,0.857318384,0.225680934,0.01269767,0.5,??,??,0.867820379,??,??
1.6,0,1,0,0.234858772,0.026295556,0.043349757,0.005100742,0,1,0.896514079,0.051628803,0.040318016,0.821993549,0.20233463,0.013710072,0.5,??,??,0.86483664,??,??
1.8,0,1,0,0.293963878,0.013147556,0.025230088,0.000509951,0,1,0.894694546,0.051597207,0.040398868,0.77991092,0.186770428,0.014778718,0.5,??,??,0.861852902,??,??
2,0,1,0,0.353068984,0.006573778,0.011116347,5.09E-05,0,1,0.891737805,0.051534014,0.04047972,0.735678083,0.178988327,0.015898921,0.5,??,??,0.857377294,??,??
2.2,0,1,0,0.41217409,0.003286933,0.003334935,0.027359828,0,1,0.890373156,0.051470821,0.040533621,0.691138074,0.206225681,0.017070682,0.5,??,??,0.854841116,??,??
2.4,0,1,0,0,0,0.023224058,0.00273586,0,1,0.888553623,0.051407627,0.040587522,0.655506067,0.194552529,0.018303375,0.5,??,??,0.852155751,??,??
2.6,0,1,0,0,0,0.014106486,0.000273463,0,1,0.886355021,0.051312838,0.040641423,0.621409922,0.190661479,0.019582937,0.5,??,??,0.848873639,??,??
2.8,0,1,0,0,0.038392444,0.007549641,2.72E-05,0,1,0.884838744,0.051281241,0.040722275,0.60635847,0.186770428,0.020918745,0.5,??,??,0.846635835,??,??
3,0,1,0,0,0.093977778,0.00434776,2.60E-06,0,1,0.883474094,0.051312838,0.040910928,0.616495162,0.186770428,0.02230611,0.5,??,??,0.844845592,??,??
3.2,0,1,0.049295775,0,0.137848889,0.003572122,1.37E-07,0,1,0.881957817,0.051470821,0.041153483,0.645369375,0.190661479,0.023749719,0.5,??,??,0.842906161,??,??
3.4,0,1,0.049295775,0,0.14828,0.004278167,0,0,1,0.879228518,0.0516604,0.041449939,0.67700814,0.194552529,0.025249573,0.5,??,??,0.839176488,??,??
3.6,0,1,0.049295775,0,0.122266667,0.005813807,0,0,1,0.877636427,0.051786786,0.041692494,0.69743511,0.19844358,0.026805672,0.5,??,??,0.836789497,??,??
3.8,0,1,0.049295775,0,0.072711111,0.007730725,0,0,1,0.874831314,0.051849979,0.041881148,0.692673936,0.20233463,0.028418015,0.5,??,??,0.833059824,??,??
4,0,1,0.049295775,0,0.028783111,0.01032538,0,0,1,0.873239223,0.051849979,0.042015901,0.664874827,0.206225681,0.030100664,0.5,??,??,0.831120394,??,??
4.2,0,1,0.049295775,0,0.017157778,0.013159165,0,0,1,0.870737366,0.051818383,0.042177604,0.631546613,0.210116732,0.031844244,0.5,??,??,0.829330151,??,??
4.4,0,1,0.049295775,0,0.043813778,0.016361864,0,0,1,0.868159694,0.051849979,0.042366258,0.612348334,0.214007782,0.033653443,0.5,??,??,0.826197225,??,??
