Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Dumped broth flow(Fremoved:L/h),Dissolved oxygen concentration(DO2:mg/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Viscosity(Viscosity_offline:centPoise)
0.2,0,1,0,0,0,0,0.429932397,0,1,0.910160574,0.044803943,0.034469748,0.824758102,0.027237354,0.002931746,0.5,??,??,0.830523646,??,??
0.4,0,1,0,0,0,0,0.12691013,0,1,0.908113599,0.04474075,0.034523649,0.788972508,0.140077821,0.008147957,0.5,??,??,0.867820379,??,??
0.6,0,1,0,0.059175267,0,0,0,0,1,0.907279647,0.04464596,0.03457755,0.753954846,0.13229572,0.009805764,0.5,??,??,0.875428912,??,??
0.8,0,1,0,0.118210212,0,0,0.1671313,0,1,0.905232673,0.044582767,0.034631451,0.719244356,0.287937743,0.010738486,0.5,??,??,0.874235417,??,??
1,0,1,0,0,0,0.134249567,0.016713007,0,1,0.905232673,0.044487978,0.034685352,0.688987867,0.221789883,0.011549344,0.5,0.202319192,0.047363031,0.874235417,1.00E+00,1.00E+00
1.2,0,1,0,0,0,0.08166257,0.001671178,0,1,0.903261512,0.044393188,0.034739253,0.660113654,0.175097276,0.01236489,0.5,??,??,0.871400865,??,??
1.4,0,1,0,0,0,0.024498393,0.125565095,0,1,0.901366166,0.044329995,0.034766204,0.632314545,0.280155642,0.013203871,0.5,??,??,0.867969566,??,??
1.6,0,1,0,0,0.025849333,0.117050648,0.012556387,0,1,0.901290352,0.044266801,0.034847056,0.618338197,0.221789883,0.014080348,0.5,??,??,0.867372818,??,??
1.8,0,1,0,0,0.067755556,0.071250224,0.001255516,0,1,0.900835469,0.044266801,0.034981808,0.624635233,0.182879377,0.014994322,0.5,??,??,0.866925257,??,??
2,0,1,0,0,0.102217778,0.021375405,0.103220304,0,1,0.900153144,0.044329995,0.035170462,0.645062202,0.272373541,0.015945792,0.5,??,??,0.866030136,??,??
2.2,0,1,0,0,0.11312,0.098547759,0.010321907,0,1,0.899622447,0.044424784,0.035332165,0.670403932,0.225680934,0.016930071,0.5,??,??,0.865433388,??,??
2.4,0,1,0,0,0.094724444,0.063151506,0.001032068,0,1,0.897954542,0.044456381,0.035493869,0.688373522,0.194552529,0.017951846,0.5,??,??,0.863046397,??,??
2.6,0,1,0,0,0.055768889,0.036701143,0.000103084,0,1,0.89712059,0.044456381,0.035628621,0.685608969,0.171206226,0.019001744,0.5,??,??,0.861554528,??,??
2.8,0,1,0,0,0.020112889,0.011010067,0.066322079,0,1,0.896665706,0.044393188,0.035682523,0.663799724,0.229571984,0.020089138,0.5,??,??,0.861256154,??,??
3,0,1,0,0,0.009562222,0.060898172,0.006632085,0,1,0.895907568,0.044329995,0.035763374,0.637075718,0.210116732,0.021214029,0.5,??,??,0.860361032,??,??
3.2,0,1,0.049295775,0,0.029879556,0.041513366,0.000663085,0,1,0.894391291,0.044329995,0.035898127,0.621717094,0.190661479,0.022371729,0.5,??,??,0.858272415,??,??
3.4,0,1,0.049295775,0,0.067848889,0.024732413,6.62E-05,0,1,0.893329896,0.044393188,0.03605983,0.624174474,0.178988327,0.023571612,0.5,??,??,0.856780546,??,??
3.6,0,1,0.049295775,0,0.10288,0.007419652,0.048623397,0,1,0.891358736,0.044487978,0.036275435,0.643833513,0.221789883,0.024813678,0.5,??,??,0.85364762,??,??
3.8,0,1,0.049295775,0,0.115208889,0.045768642,0.004862217,0,1,0.888326182,0.044614364,0.036517989,0.669021656,0.206225681,0.026097928,0.5,??,??,0.848575265,??,??
4,0,1,0.049295775,0,0.098462222,0.032994638,0.000486099,0,1,0.886506649,0.044709154,0.036733594,0.683765935,0.194552529,0.027429049,0.5,??,??,0.845143965,??,??
4.2,0,1,0.049295775,0,0.064848889,0.021622709,4.85E-05,0,1,0.883019211,0.044772347,0.036949198,0.681462141,0.190661479,0.02880704,0.5,??,??,0.840519171,??,??
4.4,0,1,0.049295775,0,0.033891556,0.015386952,4.73E-06,0,1,0.881654562,0.044772347,0.037137852,0.662263861,0.186770428,0.030236588,0.5,??,??,0.837982993,??,??
4.6,0,1,0.049295775,0,0.025136889,0.012007461,3.50E-07,0,1,0.879304332,0.044772347,0.037299555,0.63861158,0.186770428,0.03170832,0.5,??,??,0.834402506,??,??
4.8,0,1,0.049295775,0,0.043689778,0.010227276,0,0,1,0.877939682,0.044803943,0.037488209,0.625249578,0.186770428,0.033231609,0.5,??,??,0.832313889,??,??
5,0,1,0.049295775,0,0.077551111,0.009832713,0,0,1,0.876650847,0.044867136,0.037730764,0.630932268,0.190661479,0.034806456,0.5,??,??,0.830523646,??,??
5.2,0,1,0.049295775,0,0.104666667,0.010652395,0,0,1,0.874831314,0.04493033,0.037946368,0.649362617,0.194552529,0.036437547,0,??,??,0.828285842,??,??
5.4,0,1,0.049295775,0,0.110573333,0.012527619,0,0,1,0.873466665,0.045025119,0.038188923,0.669175242,0.19844358,0.038124883,0,??,??,0.826644786,??,??
