Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Dumped broth flow(Fremoved:L/h),Dissolved oxygen concentration(DO2:mg/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Viscosity(Viscosity_offline:centPoise)
0.2,0,1,0,0,0,0,0.31256996,0,1,0.902503374,0.039716895,0.020455464,0.690984488,0.077821012,0.007037596,0.5,??,??,0.626435924,??,??
0.4,0,1,0,0,0,0,0.091024781,0,1,0.900456399,0.039653702,0.020509365,0.657349102,0.163424125,0.01344291,0.5,??,??,0.804415933,??,??
0.6,0,1,0,0,0,0,0,0,1,0.897878728,0.039558912,0.020563266,0.624788819,0.159533074,0.01563176,0.5,??,??,0.84395047,??,??
0.8,0,1,0,0,0.034428,0,0.111860509,0,1,0.895831754,0.039527315,0.020644118,0.608355091,0.272373541,0.016986315,0.5,??,??,0.850365508,??,??
1,0,1,0,0,0.087848889,0.09523265,0.011185928,0,1,0.893708966,0.039558912,0.020805821,0.61373061,0.229571984,0.018219008,0.5,0.214376846,0.098873528,0.848724452,1.00E+00,1.00E+00
1.2,0,1,0,0,0.134933333,0.062647699,0.00111847,0,1,0.891358736,0.039685298,0.021021426,0.63984027,0.20233463,0.019475135,0.5,??,??,0.844845592,??,??
1.4,0,1,0,0,0.151853333,0.038696954,0.000111724,0,1,0.889235948,0.039811684,0.02123703,0.668560897,0.182879377,0.020782821,0.5,??,??,0.840966731,??,??
1.6,0,1,0,0,0.135591111,0.011608912,0.0595518,0,1,0.888401995,0.039906474,0.021452634,0.69374904,0.241245136,0.022151437,0.5,??,??,0.839027301,??,??
1.8,0,1,0,0,0.090226667,0.061436724,0.005955057,0,1,0.886506649,0.039938071,0.021614338,0.698817386,0.217898833,0.023585673,0.5,??,??,0.836043563,??,??
2,0,1,0,0,0.039295556,0.044919426,0.000595383,0,1,0.884535488,0.039938071,0.02172214,0.677468899,0.20233463,0.025085527,0.5,??,??,0.83276145,??,??
2.2,0,1,0,0,0.013044889,0.031953302,5.94E-05,0,1,0.881654562,0.039843281,0.021776041,0.643372754,0.194552529,0.026650999,0.5,??,??,0.827987468,??,??
2.4,0,1,0,0,0.026170222,0.024570949,5.82E-06,0,1,0.87945596,0.039811684,0.021856893,0.616955921,0.194552529,0.028291465,0.5,??,??,0.823959421,??,??
2.6,0,1,0,0,0.069742222,0.021313067,4.59E-07,0,1,0.877788055,0.039811684,0.021991645,0.609737368,0.194552529,0.030002236,0.5,??,??,0.820826496,??,??
2.8,0,1,0,0,0.121422222,0.020073478,0,0,1,0.875437825,0.039906474,0.022180299,0.625403164,0.194552529,0.031787999,0.5,??,??,0.817096822,??,??
3,0,1,0,0,0.154977778,0.020659038,0,0,1,0.872708526,0.04003286,0.022422854,0.651359238,0.19844358,0.033648756,0.5,??,??,0.812472027,??,??
3.2,0,1,0.049295775,0,0.158595556,0.022604775,0,0,1,0.869751785,0.04022244,0.02271931,0.67700814,0.20233463,0.035598566,0.5,??,??,0.807548859,??,??
3.4,0,1,0.049295775,0,0.132595556,0.024872416,0,0,1,0.868235508,0.040380423,0.022961865,0.690370143,0.206225681,0.037628056,0.5,??,??,0.804714307,??,??
3.6,0,1,0.049295775,0,0.091302222,0.027398603,0,0,1,0.864975512,0.040475212,0.023177469,0.682076486,0.206225681,0.0397466,0.5,??,??,0.800089512,??,??
3.8,0,1,0.049295775,0,0.059653333,0.029506824,0,0,1,0.862322027,0.040506809,0.023339173,0.658577791,0.210116732,0.041954197,0.5,??,??,0.795763091,??,??
4,0,1,0.049295775,0,0.055115556,0.032168927,0,0,1,0.859062031,0.040538406,0.023527826,0.634003993,0.214007782,0.044250849,0.5,??,??,0.790690735,??,??
4.2,0,1,0.049295775,0,0.078955556,0.034568396,0,0,1,0.854589013,0.040633195,0.023743431,0.618184611,0.217898833,0.046645928,0.5,??,??,0.784872445,??,??
4.4,0,1,0.049295775,0,0.121031111,0.038342347,0,0,1,0.850949948,0.040759582,0.024039887,0.618031024,0.221789883,0.049139435,0.5,??,??,0.779054155,??,??
4.6,0,1,0.049295775,0,0.163155556,0.043040115,0,0,1,0.847538324,0.040949161,0.024363293,0.634003993,0.225680934,0.051740745,0.5,??,??,0.773683425,??,??
4.8,0,1,0.049295775,0,0.186777778,0.047893214,0,0,1,0.844354142,0.041170337,0.024740601,0.659960068,0.225680934,0.054440482,0.5,??,??,0.768461883,??,??
5,0,1,0.049295775,0,0.180515556,0.051127592,0,0,1,0.839956938,0.041391513,0.025090958,0.679158347,0.225680934,0.057243334,0.5,??,??,0.761748471,??,??
5.2,0,1,0.049295775,0,0.152053333,0.052990553,0,0,1,0.836621128,0.041517899,0.025387414,0.685608969,0.229571984,0.060153988,0,??,??,0.756526928,??,??
5.4,0,1,0.049295775,0,0.116235556,0.057141593,0,0,1,0.831769041,0.041612689,0.025629969,0.676393795,0.233463035,0.063177131,0,??,??,0.749515142,??,??
5.6,0,1,0.049295775,0,0.091137778,0.062295137,0,0,1,0.827296023,0.041675882,0.025845573,0.655659653,0.237354086,0.066322138,0,??,??,0.742503357,??,??
5.8,0,1,0.049295775,0,0.089968889,0.068317313,0,0,1,0.821913239,0.041739075,0.026061178,0.631239441,0.237354086,0.069598381,0,??,??,0.734298075,??,??
6,0,1,0.049295775,0,0.11708,0.073706921,0,0,1,0.817212779,0.041833865,0.026330683,0.61618799,0.241245136,0.073010549,0,??,??,0.726838729,??,??
6.2,0,1,0.049295775,0,0.161435556,0.078779733,0,0,1,0.811981623,0.041991848,0.026627139,0.617109507,0.245136187,0.076568015,0,??,??,0.719230195,??,??
6.4,0,1,0.049295775,0,0.20468,0.086754799,0,0,1,0.806598839,0.042213024,0.026977496,0.633389648,0.249027237,0.080284841,0,??,??,0.711174101,??,??
