Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Dumped broth flow(Fremoved:L/h),Dissolved oxygen concentration(DO2:mg/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Viscosity(Viscosity_offline:centPoise)
0.2,0,1,0,0,0.053915556,0,0.51193301,0,1,0.907886158,0.03541976,0.044225846,0.607126401,0,0.003947428,0.5,??,??,1,??,??
0.4,0,1,0,0,0.106595556,0,0.144468021,0,1,0.907279647,0.03551455,0.044387549,0.633389648,0.13618677,0.009468297,0.5,??,??,0.90810085,??,??
0.6,0,1,0,0,0.130902222,0,0,0,1,0.90674895,0.03560934,0.044603153,0.67209338,0.128404669,0.01124,0.5,??,??,0.885722811,??,??
0.8,0,1,0,0,0.110462222,0,0.18506509,0,1,0.90576337,0.035672533,0.044791807,0.703271387,0.303501946,0.012266462,0.5,??,??,0.879009399,??,??
1,0,1,0,0,0.05416,0.152511282,0.018506386,0,1,0.904247093,0.035672533,0.044899609,0.702503456,0.241245136,0.013166375,0.5,0.207513258,0.122171019,0.875428912,1.000002948,1.000054113
1.2,0,1,0,0,0,0.09966063,0.001850516,0,1,0.903034071,0.035577743,0.04495351,0.671018277,0.182879377,0.014070974,0.5,??,??,0.873041922,??,??
1.4,0,1,0,0,0,0.02989822,0.150031323,0,1,0.900987096,0.03551455,0.045007411,0.640761788,0.311284047,0.015008383,0.5,??,??,0.869461435,??,??
1.6,0,1,0,0,0.015918222,0.145408936,0.015003009,0,1,0.89909175,0.035451357,0.045061312,0.620488404,0.252918288,0.015983288,0.5,??,??,0.866030136,??,??
1.8,0,1,0,0,0.055306667,0.097476787,0.001500178,0,1,0.8977271,0.03541976,0.045196065,0.621102749,0.20233463,0.017000376,0.5,??,??,0.863344771,??,??
2,0,1,0,0,0.093915556,0.057280574,0.000149895,0,1,0.895149429,0.035482954,0.045357768,0.641683305,0.171206226,0.018059648,0.5,??,??,0.85901835,??,??
2.2,0,1,0,0,0.108711111,0.017184509,0.090434278,0,1,0.893329896,0.035546147,0.045519472,0.669328828,0.249027237,0.019161104,0.5,??,??,0.855587051,??,??
2.4,0,1,0,0,0.091551111,0.086689396,0.009043305,0,1,0.891510364,0.03560934,0.045681175,0.688219935,0.214007782,0.020304742,0.5,??,??,0.852304938,??,??
2.6,0,1,0,0,0.052644444,0.058862507,0.000904207,0,1,0.889918273,0.035577743,0.045815928,0.683919521,0.190661479,0.021490564,0.5,??,??,0.849619573,??,??
2.8,0,1,0,0,0.018888,0.036728735,9.03E-05,0,1,0.887264787,0.03551455,0.045869829,0.659806481,0.175097276,0.02271857,0.5,??,??,0.845143965,??,??
3,0,1,0,0,0.013049778,0.011018242,0.065370713,0,1,0.886430835,0.035451357,0.045950681,0.632775303,0.237354086,0.023998133,0.5,??,??,0.843502909,??,??
3.2,0,1,0.049295775,0,0.038280444,0.064428906,0.006536948,0,1,0.884156419,0.035482954,0.046085433,0.620334818,0.217898833,0.025324566,0.5,??,??,0.840220797,??,??
3.4,0,1,0.049295775,0,0.077755556,0.04859323,0.000653572,0,1,0.881806189,0.035546147,0.046274087,0.628474889,0.20233463,0.026702557,0.5,??,??,0.83619275,??,??
3.6,0,1,0.049295775,0,0.107764444,0.035964339,6.52E-05,0,1,0.880365726,0.035672533,0.046516642,0.650130548,0.190661479,0.028122731,0.5,??,??,0.833656572,??,??
3.8,0,1,0.049295775,0,0.112728889,0.026518729,6.40E-06,0,1,0.878242938,0.035767323,0.046759197,0.674243588,0.186770428,0.029594463,0.5,??,??,0.830374459,??,??
4,0,1,0.049295775,0,0.089973333,0.007955547,0.047333039,0,1,0.876271778,0.035862113,0.046974801,0.684226693,0.237354086,0.031113065,0.5,??,??,0.827092347,??,??
4.2,0,1,0.049295775,0,0.05584,0.051727459,0.004733181,0,1,0.873011781,0.035893709,0.047163455,0.674704346,0.225680934,0.032687912,0.5,??,??,0.823362673,??,??
4.4,0,1,0.049295775,0,0.032722667,0.044336932,0.000473195,0,1,0.870206669,0.035925306,0.047352109,0.652127169,0.217898833,0.034319003,0.5,??,??,0.818887065,??,??
4.6,0,1,0.049295775,0,0.035752444,0.038265703,4.72E-05,0,1,0.867780625,0.035925306,0.047540763,0.630625096,0.210116732,0.036001652,0.5,??,??,0.814859018,??,??
4.8,0,1,0.049295775,0,0.063426667,0.034252622,4.60E-06,0,1,0.86611272,0.035956902,0.047756367,0.624942405,0.206225681,0.037745232,0.5,??,??,0.812322841,??,??
5,0,1,0.049295775,0,0.097657778,0.032413166,3.37E-07,0,1,0.864065746,0.036083289,0.047998922,0.633389648,0.206225681,0.039554431,0.5,??,??,0.809488289,??,??
5.2,0,1,0.049295775,0,0.122084444,0.032336522,0,0,1,0.861639702,0.036178078,0.048268427,0.652434342,0.210116732,0.041424561,0,??,??,0.806206176,??,??
5.4,0,1,0.049295775,0,0.124471111,0.033114203,0,0,1,0.858758775,0.036272868,0.048537933,0.67209338,0.210116732,0.043355623,0,??,??,0.801879755,??,??
5.6,0,1,0.049295775,0,0.104275556,0.035090597,0,0,1,0.856408546,0.036367658,0.048780488,0.680233451,0.214007782,0.045356991,0,??,??,0.798448456,??,??
